dataset,feature,model,variant,split,random,majority,accuracy,duration
insurance,SEX,XGBoost,Optimal,Train,0.5000547411414311,0.5052316890881914,0.5158878504672897,3.3937036991119385
insurance,SEX,XGBoost,Optimal,Test,0.5000547411414311,0.5052316890881914,0.4925373134328358,0.3601412773132324
insurance,SEX,XGBoost,Underfit,Train,0.5000547411414311,0.5052316890881914,0.4953271028037383,1.1261653900146484
insurance,SEX,XGBoost,Underfit,Test,0.5000547411414311,0.5052316890881914,0.4925373134328358,0.30378031730651855
insurance,SEX,XGBoost,Overfit,Train,0.5000547411414311,0.5052316890881914,0.5355140186915888,1.388441801071167
insurance,SEX,XGBoost,Overfit,Test,0.5000547411414311,0.5052316890881914,0.5335820895522388,0.46575212478637695
insurance,SEX,Decision Tree,Optimal,Train,0.5000547411414311,0.5052316890881914,0.4953271028037383,0.8955416679382324
insurance,SEX,Decision Tree,Optimal,Test,0.5000547411414311,0.5052316890881914,0.48134328358208955,0.2231426239013672
insurance,SEX,Decision Tree,Underfit,Train,0.5000547411414311,0.5052316890881914,0.4953271028037383,0.8955392837524414
insurance,SEX,Decision Tree,Underfit,Test,0.5000547411414311,0.5052316890881914,0.4925373134328358,0.22086644172668457
insurance,SEX,Decision Tree,Overfit,Train,0.5000547411414311,0.5052316890881914,0.4934579439252336,0.8523561954498291
insurance,SEX,Decision Tree,Overfit,Test,0.5000547411414311,0.5052316890881914,0.5261194029850746,0.21977972984313965
insurance,SEX,Random Forest,Optimal,Train,0.5000547411414311,0.5052316890881914,0.6056074766355141,24.124536752700806
insurance,SEX,Random Forest,Optimal,Test,0.5000547411414311,0.5052316890881914,0.5111940298507462,6.250870704650879
insurance,SEX,Random Forest,Underfit,Train,0.5000547411414311,0.5052316890881914,0.5560747663551402,4.310174465179443
insurance,SEX,Random Forest,Underfit,Test,0.5000547411414311,0.5052316890881914,0.5373134328358209,1.4717915058135986
insurance,SEX,Random Forest,Overfit,Train,0.5000547411414311,0.5052316890881914,0.602803738317757,36.663520097732544
insurance,SEX,Random Forest,Overfit,Test,0.5000547411414311,0.5052316890881914,0.5223880597014925,9.507344007492065
insurance,SMOKER,XGBoost,Optimal,Train,0.6743058488116704,0.7952167414050823,0.31121495327102805,1.1502635478973389
insurance,SMOKER,XGBoost,Optimal,Test,0.6743058488116704,0.7952167414050823,0.29850746268656714,0.36267518997192383
insurance,SMOKER,XGBoost,Underfit,Train,0.6743058488116704,0.7952167414050823,0.44485981308411215,1.1818103790283203
insurance,SMOKER,XGBoost,Underfit,Test,0.6743058488116704,0.7952167414050823,0.4626865671641791,0.3137078285217285
insurance,SMOKER,XGBoost,Overfit,Train,0.6743058488116704,0.7952167414050823,0.397196261682243,1.4322872161865234
insurance,SMOKER,XGBoost,Overfit,Test,0.6743058488116704,0.7952167414050823,0.3358208955223881,0.48767733573913574
insurance,SMOKER,Decision Tree,Optimal,Train,0.6743058488116704,0.7952167414050823,0.28130841121495326,0.8782031536102295
insurance,SMOKER,Decision Tree,Optimal,Test,0.6743058488116704,0.7952167414050823,0.26119402985074625,0.22722721099853516
insurance,SMOKER,Decision Tree,Underfit,Train,0.6743058488116704,0.7952167414050823,0.28130841121495326,0.8183329105377197
insurance,SMOKER,Decision Tree,Underfit,Test,0.6743058488116704,0.7952167414050823,0.2947761194029851,0.2074592113494873
insurance,SMOKER,Decision Tree,Overfit,Train,0.6743058488116704,0.7952167414050823,0.26635514018691586,0.8623669147491455
insurance,SMOKER,Decision Tree,Overfit,Test,0.6743058488116704,0.7952167414050823,0.27238805970149255,0.21289443969726562
insurance,SMOKER,Random Forest,Optimal,Train,0.6743058488116704,0.7952167414050823,0.38691588785046727,17.563862800598145
insurance,SMOKER,Random Forest,Optimal,Test,0.6743058488116704,0.7952167414050823,0.35074626865671643,4.553974390029907
insurance,SMOKER,Random Forest,Underfit,Train,0.6743058488116704,0.7952167414050823,0.305607476635514,4.5439698696136475
insurance,SMOKER,Random Forest,Underfit,Test,0.6743058488116704,0.7952167414050823,0.29850746268656714,1.4508635997772217
insurance,SMOKER,Random Forest,Overfit,Train,0.6743058488116704,0.7952167414050823,0.4981308411214953,38.649004220962524
insurance,SMOKER,Random Forest,Overfit,Test,0.6743058488116704,0.7952167414050823,0.44776119402985076,9.995212316513062
insurance,REGION,XGBoost,Optimal,Train,0.2506485149510346,0.27204783258594917,0.26635514018691586,1.191545009613037
insurance,REGION,XGBoost,Optimal,Test,0.2506485149510346,0.27204783258594917,0.25,0.34737658500671387
insurance,REGION,XGBoost,Underfit,Train,0.2506485149510346,0.27204783258594917,0.24299065420560748,1.1346909999847412
insurance,REGION,XGBoost,Underfit,Test,0.2506485149510346,0.27204783258594917,0.24253731343283583,0.31858181953430176
insurance,REGION,XGBoost,Overfit,Train,0.2506485149510346,0.27204783258594917,0.2738317757009346,1.4445123672485352
insurance,REGION,XGBoost,Overfit,Test,0.2506485149510346,0.27204783258594917,0.2462686567164179,0.4646618366241455
insurance,REGION,Decision Tree,Optimal,Train,0.2506485149510346,0.27204783258594917,0.24485981308411214,0.8539609909057617
insurance,REGION,Decision Tree,Optimal,Test,0.2506485149510346,0.27204783258594917,0.23880597014925373,0.22644805908203125
insurance,REGION,Decision Tree,Underfit,Train,0.2506485149510346,0.27204783258594917,0.24299065420560748,0.8875501155853271
insurance,REGION,Decision Tree,Underfit,Test,0.2506485149510346,0.27204783258594917,0.24253731343283583,0.22127294540405273
insurance,REGION,Decision Tree,Overfit,Train,0.2506485149510346,0.27204783258594917,0.2560747663551402,0.8570444583892822
insurance,REGION,Decision Tree,Overfit,Test,0.2506485149510346,0.27204783258594917,0.26492537313432835,0.22261905670166016
insurance,REGION,Random Forest,Optimal,Train,0.2506485149510346,0.27204783258594917,0.38037383177570094,17.77979612350464
insurance,REGION,Random Forest,Optimal,Test,0.2506485149510346,0.27204783258594917,0.25,4.532592296600342
insurance,REGION,Random Forest,Underfit,Train,0.2506485149510346,0.27204783258594917,0.33271028037383177,4.354269742965698
insurance,REGION,Random Forest,Underfit,Test,0.2506485149510346,0.27204783258594917,0.22761194029850745,1.4795944690704346
insurance,REGION,Random Forest,Overfit,Train,0.2506485149510346,0.27204783258594917,0.4130841121495327,37.30556631088257
insurance,REGION,Random Forest,Overfit,Test,0.2506485149510346,0.27204783258594917,0.26865671641791045,9.681217432022095
insurance,BMI_CATEGORY,XGBoost,Optimal,Train,0.3945484526131633,0.5351270553064275,0.16728971962616823,1.161327600479126
insurance,BMI_CATEGORY,XGBoost,Optimal,Test,0.3945484526131633,0.5351270553064275,0.11567164179104478,0.38909912109375
insurance,BMI_CATEGORY,XGBoost,Underfit,Train,0.3945484526131633,0.5351270553064275,0.28317757009345795,1.1108219623565674
insurance,BMI_CATEGORY,XGBoost,Underfit,Test,0.3945484526131633,0.5351270553064275,0.2873134328358209,0.34918785095214844
insurance,BMI_CATEGORY,XGBoost,Overfit,Train,0.3945484526131633,0.5351270553064275,0.32897196261682243,1.4738945960998535
insurance,BMI_CATEGORY,XGBoost,Overfit,Test,0.3945484526131633,0.5351270553064275,0.23507462686567165,0.45775866508483887
insurance,BMI_CATEGORY,Decision Tree,Optimal,Train,0.3945484526131633,0.5351270553064275,0.3149532710280374,0.8396942615509033
insurance,BMI_CATEGORY,Decision Tree,Optimal,Test,0.3945484526131633,0.5351270553064275,0.31716417910447764,0.23394036293029785
insurance,BMI_CATEGORY,Decision Tree,Underfit,Train,0.3945484526131633,0.5351270553064275,0.34205607476635513,0.845733642578125
insurance,BMI_CATEGORY,Decision Tree,Underfit,Test,0.3945484526131633,0.5351270553064275,0.332089552238806,0.2418193817138672
insurance,BMI_CATEGORY,Decision Tree,Overfit,Train,0.3945484526131633,0.5351270553064275,0.3280373831775701,0.8630402088165283
insurance,BMI_CATEGORY,Decision Tree,Overfit,Test,0.3945484526131633,0.5351270553064275,0.34328358208955223,0.23900628089904785
insurance,BMI_CATEGORY,Random Forest,Optimal,Train,0.3945484526131633,0.5351270553064275,0.5149532710280373,17.490975856781006
insurance,BMI_CATEGORY,Random Forest,Optimal,Test,0.3945484526131633,0.5351270553064275,0.4925373134328358,4.523149490356445
insurance,BMI_CATEGORY,Random Forest,Underfit,Train,0.3945484526131633,0.5351270553064275,0.40841121495327104,4.542490243911743
insurance,BMI_CATEGORY,Random Forest,Underfit,Test,0.3945484526131633,0.5351270553064275,0.3805970149253731,1.5068800449371338
insurance,BMI_CATEGORY,Random Forest,Overfit,Train,0.3945484526131633,0.5351270553064275,0.5186915887850467,37.27252507209778
insurance,BMI_CATEGORY,Random Forest,Overfit,Test,0.3945484526131633,0.5351270553064275,0.417910447761194,9.635843515396118
insurance,HAS_CHILDREN,XGBoost,Optimal,Train,0.5100824245186689,0.5710014947683109,0.5551401869158878,1.2231619358062744
insurance,HAS_CHILDREN,XGBoost,Optimal,Test,0.5100824245186689,0.5710014947683109,0.5671641791044776,0.3966073989868164
insurance,HAS_CHILDREN,XGBoost,Underfit,Train,0.5100824245186689,0.5710014947683109,0.43177570093457945,1.1454944610595703
insurance,HAS_CHILDREN,XGBoost,Underfit,Test,0.5100824245186689,0.5710014947683109,0.417910447761194,0.3135805130004883
insurance,HAS_CHILDREN,XGBoost,Overfit,Train,0.5100824245186689,0.5710014947683109,0.5214953271028038,1.4167804718017578
insurance,HAS_CHILDREN,XGBoost,Overfit,Test,0.5100824245186689,0.5710014947683109,0.48880597014925375,0.45382046699523926
insurance,HAS_CHILDREN,Decision Tree,Optimal,Train,0.5100824245186689,0.5710014947683109,0.49906542056074765,0.8249025344848633
insurance,HAS_CHILDREN,Decision Tree,Optimal,Test,0.5100824245186689,0.5710014947683109,0.4925373134328358,0.24111032485961914
insurance,HAS_CHILDREN,Decision Tree,Underfit,Train,0.5100824245186689,0.5710014947683109,0.43177570093457945,0.8156454563140869
insurance,HAS_CHILDREN,Decision Tree,Underfit,Test,0.5100824245186689,0.5710014947683109,0.417910447761194,0.22637367248535156
insurance,HAS_CHILDREN,Decision Tree,Overfit,Train,0.5100824245186689,0.5710014947683109,0.4766355140186916,0.8230924606323242
insurance,HAS_CHILDREN,Decision Tree,Overfit,Test,0.5100824245186689,0.5710014947683109,0.4962686567164179,0.2292783260345459
insurance,HAS_CHILDREN,Random Forest,Optimal,Train,0.5100824245186689,0.5710014947683109,0.6626168224299065,17.250272035598755
insurance,HAS_CHILDREN,Random Forest,Optimal,Test,0.5100824245186689,0.5710014947683109,0.582089552238806,4.471545696258545
insurance,HAS_CHILDREN,Random Forest,Underfit,Train,0.5100824245186689,0.5710014947683109,0.6616822429906543,4.469169616699219
insurance,HAS_CHILDREN,Random Forest,Underfit,Test,0.5100824245186689,0.5710014947683109,0.6305970149253731,1.5205771923065186
insurance,HAS_CHILDREN,Random Forest,Overfit,Train,0.5100824245186689,0.5710014947683109,0.6598130841121496,37.263861894607544
insurance,HAS_CHILDREN,Random Forest,Overfit,Test,0.5100824245186689,0.5710014947683109,0.5298507462686567,9.693863868713379
personality,STAGE_FEAR,XGBoost,Optimal,Train,0.50536648,0.5518,0.7195,5.693761348724365
personality,STAGE_FEAR,XGBoost,Optimal,Test,0.50536648,0.5518,0.684,1.088334560394287
personality,STAGE_FEAR,XGBoost,Underfit,Train,0.50536648,0.5518,0.4545,3.718613386154175
personality,STAGE_FEAR,XGBoost,Underfit,Test,0.50536648,0.5518,0.423,0.9882442951202393
personality,STAGE_FEAR,XGBoost,Overfit,Train,0.50536648,0.5518,0.71175,4.223697900772095
personality,STAGE_FEAR,XGBoost,Overfit,Test,0.50536648,0.5518,0.691,1.1739866733551025
personality,STAGE_FEAR,Decision Tree,Optimal,Train,0.50536648,0.5518,0.45825,3.0128729343414307
personality,STAGE_FEAR,Decision Tree,Optimal,Test,0.50536648,0.5518,0.446,0.7632465362548828
personality,STAGE_FEAR,Decision Tree,Underfit,Train,0.50536648,0.5518,0.4545,3.005376100540161
personality,STAGE_FEAR,Decision Tree,Underfit,Test,0.50536648,0.5518,0.423,0.8017709255218506
personality,STAGE_FEAR,Decision Tree,Overfit,Train,0.50536648,0.5518,0.45475,2.9620981216430664
personality,STAGE_FEAR,Decision Tree,Overfit,Test,0.50536648,0.5518,0.43,0.7926738262176514
personality,STAGE_FEAR,Random Forest,Optimal,Train,0.50536648,0.5518,0.55725,5.120068788528442
personality,STAGE_FEAR,Random Forest,Optimal,Test,0.50536648,0.5518,0.514,1.43206787109375
personality,STAGE_FEAR,Random Forest,Underfit,Train,0.50536648,0.5518,0.61325,3.7562429904937744
personality,STAGE_FEAR,Random Forest,Underfit,Test,0.50536648,0.5518,0.62,1.000213861465454
personality,STAGE_FEAR,Random Forest,Overfit,Train,0.50536648,0.5518,0.5535,9.172984838485718
personality,STAGE_FEAR,Random Forest,Overfit,Test,0.50536648,0.5518,0.515,2.823902130126953
personality,SOCIAL_DRAIN,XGBoost,Optimal,Train,0.50512072,0.5506,0.7385,3.9159393310546875
personality,SOCIAL_DRAIN,XGBoost,Optimal,Test,0.50512072,0.5506,0.751,1.0777795314788818
personality,SOCIAL_DRAIN,XGBoost,Underfit,Train,0.50512072,0.5506,0.449,3.9069764614105225
personality,SOCIAL_DRAIN,XGBoost,Underfit,Test,0.50512072,0.5506,0.451,1.102867603302002
personality,SOCIAL_DRAIN,XGBoost,Overfit,Train,0.50512072,0.5506,0.68075,4.460295915603638
personality,SOCIAL_DRAIN,XGBoost,Overfit,Test,0.50512072,0.5506,0.673,1.2470476627349854
personality,SOCIAL_DRAIN,Decision Tree,Optimal,Train,0.50512072,0.5506,0.45875,3.0981409549713135
personality,SOCIAL_DRAIN,Decision Tree,Optimal,Test,0.50512072,0.5506,0.453,0.7775783538818359
personality,SOCIAL_DRAIN,Decision Tree,Underfit,Train,0.50512072,0.5506,0.5585,3.0329368114471436
personality,SOCIAL_DRAIN,Decision Tree,Underfit,Test,0.50512072,0.5506,0.57,0.8177812099456787
personality,SOCIAL_DRAIN,Decision Tree,Overfit,Train,0.50512072,0.5506,0.45,3.026043176651001
personality,SOCIAL_DRAIN,Decision Tree,Overfit,Test,0.50512072,0.5506,0.452,0.8093705177307129
personality,SOCIAL_DRAIN,Random Forest,Optimal,Train,0.50512072,0.5506,0.52975,5.160611391067505
personality,SOCIAL_DRAIN,Random Forest,Optimal,Test,0.50512072,0.5506,0.514,1.4421911239624023
personality,SOCIAL_DRAIN,Random Forest,Underfit,Train,0.50512072,0.5506,0.50625,3.812089443206787
personality,SOCIAL_DRAIN,Random Forest,Underfit,Test,0.50512072,0.5506,0.465,0.9971668720245361
personality,SOCIAL_DRAIN,Random Forest,Overfit,Train,0.50512072,0.5506,0.54575,9.371016502380371
