dataset,model,variant,feature,importance
occupation,XGBoost,Overfit,cat__EDUCATION_Assoc-acdm,0.02121233195066452
occupation,XGBoost,Overfit,cat__EDUCATION_Assoc-voc,0.014896593987941742
occupation,XGBoost,Overfit,cat__EDUCATION_Bachelors,0.009878503158688545
occupation,XGBoost,Overfit,cat__EDUCATION_Doctorate,0.004161766730248928
occupation,XGBoost,Overfit,cat__EDUCATION_HS-grad,0.011857885867357254
occupation,XGBoost,Overfit,cat__EDUCATION_Masters,0.007860179990530014
occupation,XGBoost,Overfit,cat__EDUCATION_Preschool,0.0
occupation,XGBoost,Overfit,cat__EDUCATION_Prof-school,0.018948346376419067
occupation,XGBoost,Overfit,cat__EDUCATION_Some-college,0.007037494331598282
occupation,XGBoost,Overfit,cat__MARITAL_STATUS_Divorced,0.011249344795942307
occupation,XGBoost,Overfit,cat__MARITAL_STATUS_Married-AF-spouse,0.0
occupation,XGBoost,Overfit,cat__MARITAL_STATUS_Married-civ-spouse,0.305678129196167
occupation,XGBoost,Overfit,cat__MARITAL_STATUS_Married-spouse-absent,0.008586776442825794
occupation,XGBoost,Overfit,cat__MARITAL_STATUS_Never-married,0.021338967606425285
occupation,XGBoost,Overfit,cat__MARITAL_STATUS_Separated,0.01580912061035633
occupation,XGBoost,Overfit,cat__MARITAL_STATUS_Widowed,0.01251589972525835
occupation,XGBoost,Overfit,cat__OCCUPATION_Adm-clerical,0.012668535113334656
occupation,XGBoost,Overfit,cat__OCCUPATION_Armed-Forces,0.0
occupation,XGBoost,Overfit,cat__OCCUPATION_Craft-repair,0.0071843829937279224
occupation,XGBoost,Overfit,cat__OCCUPATION_Exec-managerial,0.014576959423720837
occupation,XGBoost,Overfit,cat__OCCUPATION_Farming-fishing,0.015431449748575687
occupation,XGBoost,Overfit,cat__OCCUPATION_Handlers-cleaners,0.01217019371688366
occupation,XGBoost,Overfit,cat__OCCUPATION_Machine-op-inspct,0.010154620744287968
occupation,XGBoost,Overfit,cat__OCCUPATION_Other-service,0.046488553285598755
occupation,XGBoost,Overfit,cat__OCCUPATION_Priv-house-serv,0.0
occupation,XGBoost,Overfit,cat__OCCUPATION_Prof-specialty,0.010849460028111935
occupation,XGBoost,Overfit,cat__OCCUPATION_Protective-serv,0.017767347395420074
occupation,XGBoost,Overfit,cat__OCCUPATION_Sales,0.0150070209056139
occupation,XGBoost,Overfit,cat__OCCUPATION_Tech-support,0.016821959987282753
occupation,XGBoost,Overfit,cat__OCCUPATION_Transport-moving,0.009241053834557533
occupation,XGBoost,Overfit,cat__RACE_Amer-Indian-Eskimo,0.0026404319796711206
occupation,XGBoost,Overfit,cat__RACE_Asian-Pac-Islander,0.014161593280732632
occupation,XGBoost,Overfit,cat__RACE_Black,0.013543300330638885
occupation,XGBoost,Overfit,cat__RACE_Other,0.0
occupation,XGBoost,Overfit,cat__RACE_White,0.01480643916875124
occupation,XGBoost,Overfit,cat__GENDER_Female,0.016466865316033363
occupation,XGBoost,Overfit,cat__GENDER_Male,0.0
occupation,XGBoost,Overfit,num__AGE,0.01121743954718113
occupation,XGBoost,Overfit,num__EDUCATION_YEARS,0.05196787044405937
occupation,XGBoost,Overfit,num__CAPITAL_GAIN,0.151107057929039
occupation,XGBoost,Overfit,num__CAPITAL_LOSS,0.025352289900183678
occupation,XGBoost,Overfit,num__HOURS_PER_WEEK,0.015583452768623829
occupation,Decision Tree,Optimal,cat__EDUCATION_10th,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_11th,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_12th,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_1st-4th,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_5th-6th,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_7th-8th,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_9th,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_Assoc-acdm,0.0002017717350606
occupation,Decision Tree,Optimal,cat__EDUCATION_Assoc-voc,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_Bachelors,0.009118451670909404
occupation,Decision Tree,Optimal,cat__EDUCATION_Doctorate,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_HS-grad,0.01378305791137065
occupation,Decision Tree,Optimal,cat__EDUCATION_Masters,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_Preschool,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_Prof-school,0.0
occupation,Decision Tree,Optimal,cat__EDUCATION_Some-college,0.0
occupation,Decision Tree,Optimal,cat__MARITAL_STATUS_Divorced,0.0006057309955688538
occupation,Decision Tree,Optimal,cat__MARITAL_STATUS_Married-AF-spouse,0.0
occupation,Decision Tree,Optimal,cat__MARITAL_STATUS_Married-civ-spouse,0.3814311918111269
occupation,Decision Tree,Optimal,cat__MARITAL_STATUS_Married-spouse-absent,0.0
occupation,Decision Tree,Optimal,cat__MARITAL_STATUS_Never-married,0.006954087361861223
occupation,Decision Tree,Optimal,cat__MARITAL_STATUS_Separated,0.0
occupation,Decision Tree,Optimal,cat__MARITAL_STATUS_Widowed,0.000569904034942259
occupation,Decision Tree,Optimal,cat__OCCUPATION_Adm-clerical,0.010404486536931545
occupation,Decision Tree,Optimal,cat__OCCUPATION_Armed-Forces,0.0
occupation,Decision Tree,Optimal,cat__OCCUPATION_Craft-repair,0.0
occupation,Decision Tree,Optimal,cat__OCCUPATION_Exec-managerial,0.020038977270663526
occupation,Decision Tree,Optimal,cat__OCCUPATION_Farming-fishing,0.0
occupation,Decision Tree,Optimal,cat__OCCUPATION_Handlers-cleaners,0.0
occupation,Decision Tree,Optimal,cat__OCCUPATION_Machine-op-inspct,0.0
occupation,Decision Tree,Optimal,cat__OCCUPATION_Other-service,0.0
occupation,Decision Tree,Optimal,cat__OCCUPATION_Priv-house-serv,0.0
occupation,Decision Tree,Optimal,cat__OCCUPATION_Prof-specialty,0.00835714053163517
occupation,Decision Tree,Optimal,cat__OCCUPATION_Protective-serv,0.0
occupation,Decision Tree,Optimal,cat__OCCUPATION_Sales,0.00733413642853014
occupation,Decision Tree,Optimal,cat__OCCUPATION_Tech-support,0.0002474710094348973
occupation,Decision Tree,Optimal,cat__OCCUPATION_Transport-moving,0.00042273647374962444
occupation,Decision Tree,Optimal,cat__RACE_Amer-Indian-Eskimo,0.0
occupation,Decision Tree,Optimal,cat__RACE_Asian-Pac-Islander,0.0
occupation,Decision Tree,Optimal,cat__RACE_Black,0.0
occupation,Decision Tree,Optimal,cat__RACE_Other,0.0
occupation,Decision Tree,Optimal,cat__RACE_White,0.000785943412613315
occupation,Decision Tree,Optimal,cat__GENDER_Female,0.004170686578686842
occupation,Decision Tree,Optimal,cat__GENDER_Male,0.003891883376050853
occupation,Decision Tree,Optimal,num__AGE,0.07387154628625879
occupation,Decision Tree,Optimal,num__EDUCATION_YEARS,0.2342732763304
occupation,Decision Tree,Optimal,num__CAPITAL_GAIN,0.15868427548451142
occupation,Decision Tree,Optimal,num__CAPITAL_LOSS,0.0
occupation,Decision Tree,Optimal,num__HOURS_PER_WEEK,0.06485324475969409
occupation,Decision Tree,Underfit,cat__EDUCATION_10th,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_11th,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_12th,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_1st-4th,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_5th-6th,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_7th-8th,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_9th,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_Assoc-acdm,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_Assoc-voc,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_Bachelors,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_Doctorate,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_HS-grad,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_Masters,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_Preschool,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_Prof-school,0.0
occupation,Decision Tree,Underfit,cat__EDUCATION_Some-college,0.0
occupation,Decision Tree,Underfit,cat__MARITAL_STATUS_Divorced,0.0
occupation,Decision Tree,Underfit,cat__MARITAL_STATUS_Married-AF-spouse,0.0
occupation,Decision Tree,Underfit,cat__MARITAL_STATUS_Married-civ-spouse,0.4788660961034223
occupation,Decision Tree,Underfit,cat__MARITAL_STATUS_Married-spouse-absent,0.0
occupation,Decision Tree,Underfit,cat__MARITAL_STATUS_Never-married,0.0
occupation,Decision Tree,Underfit,cat__MARITAL_STATUS_Separated,0.0
occupation,Decision Tree,Underfit,cat__MARITAL_STATUS_Widowed,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Adm-clerical,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Armed-Forces,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Craft-repair,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Exec-managerial,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Farming-fishing,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Handlers-cleaners,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Machine-op-inspct,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Other-service,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Priv-house-serv,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Prof-specialty,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Protective-serv,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Sales,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Tech-support,0.0
occupation,Decision Tree,Underfit,cat__OCCUPATION_Transport-moving,0.0
occupation,Decision Tree,Underfit,cat__RACE_Amer-Indian-Eskimo,0.0
occupation,Decision Tree,Underfit,cat__RACE_Asian-Pac-Islander,0.0
occupation,Decision Tree,Underfit,cat__RACE_Black,0.0
occupation,Decision Tree,Underfit,cat__RACE_Other,0.0
occupation,Decision Tree,Underfit,cat__RACE_White,0.0
occupation,Decision Tree,Underfit,cat__GENDER_Female,0.0
occupation,Decision Tree,Underfit,cat__GENDER_Male,0.0
occupation,Decision Tree,Underfit,num__AGE,0.015235642644713627
occupation,Decision Tree,Underfit,num__EDUCATION_YEARS,0.2886627673968856
occupation,Decision Tree,Underfit,num__CAPITAL_GAIN,0.19812688390901248
occupation,Decision Tree,Underfit,num__CAPITAL_LOSS,0.0
occupation,Decision Tree,Underfit,num__HOURS_PER_WEEK,0.019108609945965888
occupation,Decision Tree,Overfit,cat__EDUCATION_10th,0.0
occupation,Decision Tree,Overfit,cat__EDUCATION_11th,0.0013824540841923013
occupation,Decision Tree,Overfit,cat__EDUCATION_12th,0.0
occupation,Decision Tree,Overfit,cat__EDUCATION_1st-4th,0.0
occupation,Decision Tree,Overfit,cat__EDUCATION_5th-6th,0.0
occupation,Decision Tree,Overfit,cat__EDUCATION_7th-8th,0.00029624016089835185
occupation,Decision Tree,Overfit,cat__EDUCATION_9th,0.0
occupation,Decision Tree,Overfit,cat__EDUCATION_Assoc-acdm,0.00015500719665451968
occupation,Decision Tree,Overfit,cat__EDUCATION_Assoc-voc,0.0026615933055120513
occupation,Decision Tree,Overfit,cat__EDUCATION_Bachelors,0.0070041733259309045
occupation,Decision Tree,Overfit,cat__EDUCATION_Doctorate,0.00030848148986109173
occupation,Decision Tree,Overfit,cat__EDUCATION_HS-grad,0.011413596029914444
occupation,Decision Tree,Overfit,cat__EDUCATION_Masters,0.0037629862308420844
occupation,Decision Tree,Overfit,cat__EDUCATION_Preschool,0.0
occupation,Decision Tree,Overfit,cat__EDUCATION_Prof-school,0.0
occupation,Decision Tree,Overfit,cat__EDUCATION_Some-college,0.0008275138378813407
occupation,Decision Tree,Overfit,cat__MARITAL_STATUS_Divorced,0.006119090924100183
occupation,Decision Tree,Overfit,cat__MARITAL_STATUS_Married-AF-spouse,0.0
occupation,Decision Tree,Overfit,cat__MARITAL_STATUS_Married-civ-spouse,0.2929894543264146
occupation,Decision Tree,Overfit,cat__MARITAL_STATUS_Married-spouse-absent,0.0
occupation,Decision Tree,Overfit,cat__MARITAL_STATUS_Never-married,0.007888120355247313
occupation,Decision Tree,Overfit,cat__MARITAL_STATUS_Separated,0.0
occupation,Decision Tree,Overfit,cat__MARITAL_STATUS_Widowed,0.000543932051221671
occupation,Decision Tree,Overfit,cat__OCCUPATION_Adm-clerical,0.01122228001664732
occupation,Decision Tree,Overfit,cat__OCCUPATION_Armed-Forces,0.0
occupation,Decision Tree,Overfit,cat__OCCUPATION_Craft-repair,0.006158725921055538
occupation,Decision Tree,Overfit,cat__OCCUPATION_Exec-managerial,0.021977295528050115
occupation,Decision Tree,Overfit,cat__OCCUPATION_Farming-fishing,0.004602115511300095
occupation,Decision Tree,Overfit,cat__OCCUPATION_Handlers-cleaners,0.0022364808491929238
occupation,Decision Tree,Overfit,cat__OCCUPATION_Machine-op-inspct,0.003332291732928884
occupation,Decision Tree,Overfit,cat__OCCUPATION_Other-service,0.0034702520782557977
occupation,Decision Tree,Overfit,cat__OCCUPATION_Priv-house-serv,0.0
occupation,Decision Tree,Overfit,cat__OCCUPATION_Prof-specialty,0.012069288855997366
occupation,Decision Tree,Overfit,cat__OCCUPATION_Protective-serv,0.005982631356785737
occupation,Decision Tree,Overfit,cat__OCCUPATION_Sales,0.022309846679414373
occupation,Decision Tree,Overfit,cat__OCCUPATION_Tech-support,0.0002044187452762212
occupation,Decision Tree,Overfit,cat__OCCUPATION_Transport-moving,0.00046622058496946414
occupation,Decision Tree,Overfit,cat__RACE_Amer-Indian-Eskimo,0.00043775745076295386
occupation,Decision Tree,Overfit,cat__RACE_Asian-Pac-Islander,0.0015882286764544189
occupation,Decision Tree,Overfit,cat__RACE_Black,0.0007822490976912371
occupation,Decision Tree,Overfit,cat__RACE_Other,0.0
occupation,Decision Tree,Overfit,cat__RACE_White,0.004387750624641807
occupation,Decision Tree,Overfit,cat__GENDER_Female,0.007321834028694564
occupation,Decision Tree,Overfit,cat__GENDER_Male,0.0036875052628415643
occupation,Decision Tree,Overfit,num__AGE,0.14406584230034206
occupation,Decision Tree,Overfit,num__EDUCATION_YEARS,0.1863573498724962
occupation,Decision Tree,Overfit,num__CAPITAL_GAIN,0.12402192842328591
occupation,Decision Tree,Overfit,num__CAPITAL_LOSS,0.004477706875239345
occupation,Decision Tree,Overfit,num__HOURS_PER_WEEK,0.09348735620900522
occupation,Random Forest,Optimal,cat__EDUCATION_10th,0.0026097050059070747
occupation,Random Forest,Optimal,cat__EDUCATION_11th,0.002354245965813168
occupation,Random Forest,Optimal,cat__EDUCATION_12th,0.0006203047318798526
occupation,Random Forest,Optimal,cat__EDUCATION_1st-4th,0.0001450209048559995
occupation,Random Forest,Optimal,cat__EDUCATION_5th-6th,0.0008882094098653081
occupation,Random Forest,Optimal,cat__EDUCATION_7th-8th,0.001525252589685121
occupation,Random Forest,Optimal,cat__EDUCATION_9th,0.0015426871317197313
occupation,Random Forest,Optimal,cat__EDUCATION_Assoc-acdm,0.0035316786639882306
occupation,Random Forest,Optimal,cat__EDUCATION_Assoc-voc,0.0049001251962391
occupation,Random Forest,Optimal,cat__EDUCATION_Bachelors,0.01991462245764646
occupation,Random Forest,Optimal,cat__EDUCATION_Doctorate,0.005957147613550413
occupation,Random Forest,Optimal,cat__EDUCATION_HS-grad,0.0115915402839834
occupation,Random Forest,Optimal,cat__EDUCATION_Masters,0.014024280886274249
occupation,Random Forest,Optimal,cat__EDUCATION_Preschool,9.638997543970209e-06
occupation,Random Forest,Optimal,cat__EDUCATION_Prof-school,0.008840472903348506
occupation,Random Forest,Optimal,cat__EDUCATION_Some-college,0.0074720085581771924
occupation,Random Forest,Optimal,cat__MARITAL_STATUS_Divorced,0.014137390562055204
occupation,Random Forest,Optimal,cat__MARITAL_STATUS_Married-AF-spouse,0.0014274333875377667
occupation,Random Forest,Optimal,cat__MARITAL_STATUS_Married-civ-spouse,0.12991304843757995
occupation,Random Forest,Optimal,cat__MARITAL_STATUS_Married-spouse-absent,0.0017135461293282773
occupation,Random Forest,Optimal,cat__MARITAL_STATUS_Never-married,0.06125820113976356
occupation,Random Forest,Optimal,cat__MARITAL_STATUS_Separated,0.003488200625842912
occupation,Random Forest,Optimal,cat__MARITAL_STATUS_Widowed,0.0035041280086205062
occupation,Random Forest,Optimal,cat__OCCUPATION_Adm-clerical,0.010006310776034411
occupation,Random Forest,Optimal,cat__OCCUPATION_Armed-Forces,5.374588973557741e-06
occupation,Random Forest,Optimal,cat__OCCUPATION_Craft-repair,0.00633213053029431
occupation,Random Forest,Optimal,cat__OCCUPATION_Exec-managerial,0.03200503125840812
occupation,Random Forest,Optimal,cat__OCCUPATION_Farming-fishing,0.006549831313809362
occupation,Random Forest,Optimal,cat__OCCUPATION_Handlers-cleaners,0.003563150677088729
occupation,Random Forest,Optimal,cat__OCCUPATION_Machine-op-inspct,0.004714694515661547
occupation,Random Forest,Optimal,cat__OCCUPATION_Other-service,0.011981319678457218
occupation,Random Forest,Optimal,cat__OCCUPATION_Priv-house-serv,0.0012163527763207423
occupation,Random Forest,Optimal,cat__OCCUPATION_Prof-specialty,0.020641481590427672
occupation,Random Forest,Optimal,cat__OCCUPATION_Protective-serv,0.004400494360710517
occupation,Random Forest,Optimal,cat__OCCUPATION_Sales,0.010223840039402163
occupation,Random Forest,Optimal,cat__OCCUPATION_Tech-support,0.004871685147800225
occupation,Random Forest,Optimal,cat__OCCUPATION_Transport-moving,0.004586579356743752
occupation,Random Forest,Optimal,cat__RACE_Amer-Indian-Eskimo,0.001991141977198845
occupation,Random Forest,Optimal,cat__RACE_Asian-Pac-Islander,0.00688345810315984
occupation,Random Forest,Optimal,cat__RACE_Black,0.007361151144173503
occupation,Random Forest,Optimal,cat__RACE_Other,0.0007626948642603603
occupation,Random Forest,Optimal,cat__RACE_White,0.00928814526372588
occupation,Random Forest,Optimal,cat__GENDER_Female,0.02147526239280791
occupation,Random Forest,Optimal,cat__GENDER_Male,0.021193838450924832
occupation,Random Forest,Optimal,num__AGE,0.1742777838239738
occupation,Random Forest,Optimal,num__EDUCATION_YEARS,0.10717003515742411
occupation,Random Forest,Optimal,num__CAPITAL_GAIN,0.10126160277675612
occupation,Random Forest,Optimal,num__CAPITAL_LOSS,0.017110119546823885
occupation,Random Forest,Optimal,num__HOURS_PER_WEEK,0.10875760029743263
occupation,Random Forest,Underfit,cat__EDUCATION_10th,0.002667137247554839
occupation,Random Forest,Underfit,cat__EDUCATION_11th,0.00034124888838251013
occupation,Random Forest,Underfit,cat__EDUCATION_12th,0.0003414423963190293
occupation,Random Forest,Underfit,cat__EDUCATION_1st-4th,0.00014275033129338438
occupation,Random Forest,Underfit,cat__EDUCATION_5th-6th,0.0010285213629223863
occupation,Random Forest,Underfit,cat__EDUCATION_7th-8th,0.0001237628547550653
occupation,Random Forest,Underfit,cat__EDUCATION_9th,0.00025911728777926006
occupation,Random Forest,Underfit,cat__EDUCATION_Assoc-acdm,0.0012382256799606305
occupation,Random Forest,Underfit,cat__EDUCATION_Assoc-voc,0.002175166044383113
occupation,Random Forest,Underfit,cat__EDUCATION_Bachelors,0.018558197329780198
occupation,Random Forest,Underfit,cat__EDUCATION_Doctorate,0.01247043138515795
occupation,Random Forest,Underfit,cat__EDUCATION_HS-grad,0.017901946512393803
occupation,Random Forest,Underfit,cat__EDUCATION_Masters,0.01682526126481245
occupation,Random Forest,Underfit,cat__EDUCATION_Preschool,0.0
occupation,Random Forest,Underfit,cat__EDUCATION_Prof-school,0.01625569893461714
occupation,Random Forest,Underfit,cat__EDUCATION_Some-college,0.0025514840807479003
occupation,Random Forest,Underfit,cat__MARITAL_STATUS_Divorced,0.03152707798588217
occupation,Random Forest,Underfit,cat__MARITAL_STATUS_Married-AF-spouse,0.0012413959485239857
occupation,Random Forest,Underfit,cat__MARITAL_STATUS_Married-civ-spouse,0.15280556046598248
occupation,Random Forest,Underfit,cat__MARITAL_STATUS_Married-spouse-absent,0.00038901027272420354
occupation,Random Forest,Underfit,cat__MARITAL_STATUS_Never-married,0.08390559831980135
occupation,Random Forest,Underfit,cat__MARITAL_STATUS_Separated,0.001066424369864389
occupation,Random Forest,Underfit,cat__MARITAL_STATUS_Widowed,0.001529202433048029
occupation,Random Forest,Underfit,cat__OCCUPATION_Adm-clerical,0.004626339820106721
occupation,Random Forest,Underfit,cat__OCCUPATION_Armed-Forces,0.0
occupation,Random Forest,Underfit,cat__OCCUPATION_Craft-repair,0.002482953266758267
occupation,Random Forest,Underfit,cat__OCCUPATION_Exec-managerial,0.04888194798615167
occupation,Random Forest,Underfit,cat__OCCUPATION_Farming-fishing,0.003251152850010688
occupation,Random Forest,Underfit,cat__OCCUPATION_Handlers-cleaners,0.0021903088724737796
occupation,Random Forest,Underfit,cat__OCCUPATION_Machine-op-inspct,0.0020011606832989765
occupation,Random Forest,Underfit,cat__OCCUPATION_Other-service,0.010648032197371305
occupation,Random Forest,Underfit,cat__OCCUPATION_Priv-house-serv,0.0003379070213213667
occupation,Random Forest,Underfit,cat__OCCUPATION_Prof-specialty,0.03551715945815419
occupation,Random Forest,Underfit,cat__OCCUPATION_Protective-serv,0.001099977594092137
occupation,Random Forest,Underfit,cat__OCCUPATION_Sales,0.00304074853492292
occupation,Random Forest,Underfit,cat__OCCUPATION_Tech-support,0.0016386777932869082
occupation,Random Forest,Underfit,cat__OCCUPATION_Transport-moving,0.0007134524944025486
occupation,Random Forest,Underfit,cat__RACE_Amer-Indian-Eskimo,0.0007556457146292322
occupation,Random Forest,Underfit,cat__RACE_Asian-Pac-Islander,0.002844235605594388
occupation,Random Forest,Underfit,cat__RACE_Black,0.005102920451229282
occupation,Random Forest,Underfit,cat__RACE_Other,0.0005104042574420552
occupation,Random Forest,Underfit,cat__RACE_White,0.004275239045415728
occupation,Random Forest,Underfit,cat__GENDER_Female,0.02643655718998612
occupation,Random Forest,Underfit,cat__GENDER_Male,0.03585970299568743
occupation,Random Forest,Underfit,num__AGE,0.11126674032449872
occupation,Random Forest,Underfit,num__EDUCATION_YEARS,0.1146655561382961
occupation,Random Forest,Underfit,num__CAPITAL_GAIN,0.1387696017385184
occupation,Random Forest,Underfit,num__CAPITAL_LOSS,0.010460136202433978
occupation,Random Forest,Underfit,num__HOURS_PER_WEEK,0.06727878036723081
occupation,Random Forest,Overfit,cat__EDUCATION_10th,0.0024785122800706954
occupation,Random Forest,Overfit,cat__EDUCATION_11th,0.0021301992352330077
occupation,Random Forest,Overfit,cat__EDUCATION_12th,0.0006535220841815684
occupation,Random Forest,Overfit,cat__EDUCATION_1st-4th,0.00021776486803515128
occupation,Random Forest,Overfit,cat__EDUCATION_5th-6th,0.0007522646260618627
occupation,Random Forest,Overfit,cat__EDUCATION_7th-8th,0.0016600646579048735
occupation,Random Forest,Overfit,cat__EDUCATION_9th,0.0015583536402904174
occupation,Random Forest,Overfit,cat__EDUCATION_Assoc-acdm,0.00372932233074205
occupation,Random Forest,Overfit,cat__EDUCATION_Assoc-voc,0.004892246545716526
occupation,Random Forest,Overfit,cat__EDUCATION_Bachelors,0.01903918470879207
occupation,Random Forest,Overfit,cat__EDUCATION_Doctorate,0.0059933174690157175
occupation,Random Forest,Overfit,cat__EDUCATION_HS-grad,0.01263243005116463
occupation,Random Forest,Overfit,cat__EDUCATION_Masters,0.012088370455411368
occupation,Random Forest,Overfit,cat__EDUCATION_Preschool,1.2915123624979175e-05
occupation,Random Forest,Overfit,cat__EDUCATION_Prof-school,0.009991185936361313
occupation,Random Forest,Overfit,cat__EDUCATION_Some-college,0.007468745207653895
occupation,Random Forest,Overfit,cat__MARITAL_STATUS_Divorced,0.013587587291728657
occupation,Random Forest,Overfit,cat__MARITAL_STATUS_Married-AF-spouse,0.0014388197958263356
occupation,Random Forest,Overfit,cat__MARITAL_STATUS_Married-civ-spouse,0.1318444295858445
occupation,Random Forest,Overfit,cat__MARITAL_STATUS_Married-spouse-absent,0.001633963309548219
occupation,Random Forest,Overfit,cat__MARITAL_STATUS_Never-married,0.060628381679522676
occupation,Random Forest,Overfit,cat__MARITAL_STATUS_Separated,0.003358083613906773
occupation,Random Forest,Overfit,cat__MARITAL_STATUS_Widowed,0.003462276321052556
occupation,Random Forest,Overfit,cat__OCCUPATION_Adm-clerical,0.009892687707443615
occupation,Random Forest,Overfit,cat__OCCUPATION_Armed-Forces,7.4602363240505274e-06
occupation,Random Forest,Overfit,cat__OCCUPATION_Craft-repair,0.006444069699244956
occupation,Random Forest,Overfit,cat__OCCUPATION_Exec-managerial,0.03165580773108039
occupation,Random Forest,Overfit,cat__OCCUPATION_Farming-fishing,0.006567234514472152
occupation,Random Forest,Overfit,cat__OCCUPATION_Handlers-cleaners,0.0037468882546974696
occupation,Random Forest,Overfit,cat__OCCUPATION_Machine-op-inspct,0.004670204095752461
occupation,Random Forest,Overfit,cat__OCCUPATION_Other-service,0.012585144723790987
occupation,Random Forest,Overfit,cat__OCCUPATION_Priv-house-serv,0.0011042397342269947
occupation,Random Forest,Overfit,cat__OCCUPATION_Prof-specialty,0.02094593156635109
occupation,Random Forest,Overfit,cat__OCCUPATION_Protective-serv,0.004431376037762861
occupation,Random Forest,Overfit,cat__OCCUPATION_Sales,0.010651117377089143
occupation,Random Forest,Overfit,cat__OCCUPATION_Tech-support,0.005009302132509097
occupation,Random Forest,Overfit,cat__OCCUPATION_Transport-moving,0.004318570720281357
occupation,Random Forest,Overfit,cat__RACE_Amer-Indian-Eskimo,0.0020529486238125352
occupation,Random Forest,Overfit,cat__RACE_Asian-Pac-Islander,0.006688707373137563
occupation,Random Forest,Overfit,cat__RACE_Black,0.007215531217668881
occupation,Random Forest,Overfit,cat__RACE_Other,0.0007638692101177978
occupation,Random Forest,Overfit,cat__RACE_White,0.009484715289488011
occupation,Random Forest,Overfit,cat__GENDER_Female,0.022037718688278817
occupation,Random Forest,Overfit,cat__GENDER_Male,0.02129358462550166
occupation,Random Forest,Overfit,num__AGE,0.17012223583391958
occupation,Random Forest,Overfit,num__EDUCATION_YEARS,0.10619994659073224
occupation,Random Forest,Overfit,num__CAPITAL_GAIN,0.10563810219342104
occupation,Random Forest,Overfit,num__CAPITAL_LOSS,0.016980942011228854
occupation,Random Forest,Overfit,num__HOURS_PER_WEEK,0.10823972299397651
stackoverflow,XGBoost,Optimal,cat__AGE_<35,0.0
stackoverflow,XGBoost,Optimal,cat__AGE_>35,0.0
stackoverflow,XGBoost,Optimal,cat__ACCESSIBILITY_No,0.0
stackoverflow,XGBoost,Optimal,cat__ACCESSIBILITY_Yes,0.0
stackoverflow,XGBoost,Optimal,cat__EDUCATION_LEVEL_Master,0.0
stackoverflow,XGBoost,Optimal,cat__EDUCATION_LEVEL_NoHigherEd,0.0
stackoverflow,XGBoost,Optimal,cat__EDUCATION_LEVEL_Other,0.0
stackoverflow,XGBoost,Optimal,cat__EDUCATION_LEVEL_PhD,0.01962195336818695
stackoverflow,XGBoost,Optimal,cat__EDUCATION_LEVEL_Undergraduate,0.012177602387964725
stackoverflow,XGBoost,Optimal,cat__GENDER_Man,0.05607665330171585
stackoverflow,XGBoost,Optimal,cat__GENDER_NonBinary,0.0
stackoverflow,XGBoost,Optimal,cat__GENDER_Woman,0.0
stackoverflow,XGBoost,Optimal,num__EMPLOYMENT,0.027124468237161636
stackoverflow,XGBoost,Optimal,num__YEARS_CODE,0.0
stackoverflow,XGBoost,Optimal,num__YEARS_CODE_PRO,0.03687738999724388
stackoverflow,XGBoost,Optimal,num__COMPUTER_SKILLS,0.8481220006942749
