dataset,model,variant,feature,importance
insurance,Decision Tree,Overfit,cat__SEX_male,0.011785933508239723
insurance,Decision Tree,Overfit,cat__SMOKER_no,0.0
insurance,Decision Tree,Overfit,cat__SMOKER_yes,0.18634331035701204
insurance,Decision Tree,Overfit,cat__REGION_northeast,0.011528220533193084
insurance,Decision Tree,Overfit,cat__REGION_northwest,0.00340345491875655
insurance,Decision Tree,Overfit,cat__REGION_southeast,0.003989532323984068
insurance,Decision Tree,Overfit,cat__REGION_southwest,0.0008436273250067429
insurance,Decision Tree,Overfit,cat__BMI_CATEGORY_0_UNDERWEIGHT,0.0
insurance,Decision Tree,Overfit,cat__BMI_CATEGORY_1_HEALTHY,0.0030643686268016623
insurance,Decision Tree,Overfit,cat__BMI_CATEGORY_2_OVERWEIGHT,0.014280883266143537
insurance,Decision Tree,Overfit,cat__BMI_CATEGORY_3_OBESITY,0.04907525628266463
insurance,Decision Tree,Overfit,cat__HAS_CHILDREN_False,0.025380081894358093
insurance,Decision Tree,Overfit,cat__HAS_CHILDREN_True,0.03242438853115675
insurance,Decision Tree,Overfit,num__AGE,0.6453036049210289
insurance,Random Forest,Optimal,cat__SEX_female,0.010542462296845438
insurance,Random Forest,Optimal,cat__SEX_male,0.010641839472923189
insurance,Random Forest,Optimal,cat__SMOKER_no,0.1175752173531562
insurance,Random Forest,Optimal,cat__SMOKER_yes,0.11308414570146218
insurance,Random Forest,Optimal,cat__REGION_northeast,0.013489735726648423
insurance,Random Forest,Optimal,cat__REGION_northwest,0.009840454393344715
insurance,Random Forest,Optimal,cat__REGION_southeast,0.012794765511871274
insurance,Random Forest,Optimal,cat__REGION_southwest,0.011888575888432444
insurance,Random Forest,Optimal,cat__BMI_CATEGORY_0_UNDERWEIGHT,0.004836449229982861
insurance,Random Forest,Optimal,cat__BMI_CATEGORY_1_HEALTHY,0.018236229133537313
insurance,Random Forest,Optimal,cat__BMI_CATEGORY_2_OVERWEIGHT,0.017110823066674486
insurance,Random Forest,Optimal,cat__BMI_CATEGORY_3_OBESITY,0.030091384251011957
insurance,Random Forest,Optimal,cat__HAS_CHILDREN_False,0.025325567702667973
insurance,Random Forest,Optimal,cat__HAS_CHILDREN_True,0.02613645920365097
insurance,Random Forest,Optimal,num__AGE,0.5784058910677905
insurance,Random Forest,Underfit,cat__SEX_female,0.008993535667203987
insurance,Random Forest,Underfit,cat__SEX_male,0.00830469299357806
insurance,Random Forest,Underfit,cat__SMOKER_no,0.17094735107102507
insurance,Random Forest,Underfit,cat__SMOKER_yes,0.1720504235075708
insurance,Random Forest,Underfit,cat__REGION_northeast,0.009974371001040162
insurance,Random Forest,Underfit,cat__REGION_northwest,0.006483191291070583
insurance,Random Forest,Underfit,cat__REGION_southeast,0.01029353762024056
