Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline
insurance,REGION,NeuralNetwork,Optimal,Train,0.28317757009345795,0.25,0.27204783258594917
insurance,REGION,NeuralNetwork,Optimal,Test,0.19029850746268656,0.25,0.27204783258594917
insurance,REGION,NeuralNetwork,Overfitted,Train,0.29345794392523367,0.25,0.27204783258594917
insurance,REGION,NeuralNetwork,Overfitted,Test,0.23507462686567165,0.25,0.27204783258594917
insurance,BMI_CATEGORY,XGBoost,Underfitted,Train,0.2869158878504673,0.25,0.5351270553064275
insurance,BMI_CATEGORY,XGBoost,Underfitted,Test,0.27238805970149255,0.25,0.5351270553064275
insurance,BMI_CATEGORY,XGBoost,Optimal,Train,0.21401869158878506,0.25,0.5351270553064275
insurance,BMI_CATEGORY,XGBoost,Optimal,Test,0.19029850746268656,0.25,0.5351270553064275
insurance,BMI_CATEGORY,XGBoost,Overfitted,Train,0.34953271028037386,0.25,0.5351270553064275
insurance,BMI_CATEGORY,XGBoost,Overfitted,Test,0.30970149253731344,0.25,0.5351270553064275
insurance,BMI_CATEGORY,DecisionTree,Underfitted,Train,0.2869158878504673,0.25,0.5351270553064275
insurance,BMI_CATEGORY,DecisionTree,Underfitted,Test,0.27238805970149255,0.25,0.5351270553064275
insurance,BMI_CATEGORY,DecisionTree,Optimal,Train,0.30280373831775703,0.25,0.5351270553064275
insurance,BMI_CATEGORY,DecisionTree,Optimal,Test,0.2798507462686567,0.25,0.5351270553064275
insurance,BMI_CATEGORY,DecisionTree,Overfitted,Train,0.2794392523364486,0.25,0.5351270553064275
insurance,BMI_CATEGORY,DecisionTree,Overfitted,Test,0.26865671641791045,0.25,0.5351270553064275
insurance,BMI_CATEGORY,RandomForest,Underfitted,Train,0.2130841121495327,0.25,0.5351270553064275
insurance,BMI_CATEGORY,RandomForest,Underfitted,Test,0.19776119402985073,0.25,0.5351270553064275
insurance,BMI_CATEGORY,RandomForest,Optimal,Train,0.5196261682242991,0.25,0.5351270553064275
insurance,BMI_CATEGORY,RandomForest,Optimal,Test,0.458955223880597,0.25,0.5351270553064275
insurance,BMI_CATEGORY,RandomForest,Overfitted,Train,0.5383177570093458,0.25,0.5351270553064275
insurance,BMI_CATEGORY,RandomForest,Overfitted,Test,0.3917910447761194,0.25,0.5351270553064275
insurance,BMI_CATEGORY,NeuralNetwork,Underfitted,Train,0.2953271028037383,0.25,0.5351270553064275
insurance,BMI_CATEGORY,NeuralNetwork,Underfitted,Test,0.3208955223880597,0.25,0.5351270553064275
insurance,BMI_CATEGORY,NeuralNetwork,Optimal,Train,0.18411214953271027,0.25,0.5351270553064275
insurance,BMI_CATEGORY,NeuralNetwork,Optimal,Test,0.16044776119402984,0.25,0.5351270553064275
insurance,BMI_CATEGORY,NeuralNetwork,Overfitted,Train,0.16074766355140188,0.25,0.5351270553064275
insurance,BMI_CATEGORY,NeuralNetwork,Overfitted,Test,0.15671641791044777,0.25,0.5351270553064275
insurance,HAS_CHILDREN,XGBoost,Underfitted,Train,0.5822429906542056,0.5,0.5710014947683109
insurance,HAS_CHILDREN,XGBoost,Underfitted,Test,0.6082089552238806,0.5,0.5710014947683109
insurance,HAS_CHILDREN,XGBoost,Optimal,Train,0.5439252336448598,0.5,0.5710014947683109
insurance,HAS_CHILDREN,XGBoost,Optimal,Test,0.48134328358208955,0.5,0.5710014947683109
insurance,HAS_CHILDREN,XGBoost,Overfitted,Train,0.5663551401869159,0.5,0.5710014947683109
insurance,HAS_CHILDREN,XGBoost,Overfitted,Test,0.4626865671641791,0.5,0.5710014947683109
insurance,HAS_CHILDREN,DecisionTree,Underfitted,Train,0.43644859813084114,0.5,0.5710014947683109
insurance,HAS_CHILDREN,DecisionTree,Underfitted,Test,0.39925373134328357,0.5,0.5710014947683109
insurance,HAS_CHILDREN,DecisionTree,Optimal,Train,0.44299065420560746,0.5,0.5710014947683109
insurance,HAS_CHILDREN,DecisionTree,Optimal,Test,0.458955223880597,0.5,0.5710014947683109
insurance,HAS_CHILDREN,DecisionTree,Overfitted,Train,0.42149532710280374,0.5,0.5710014947683109
insurance,HAS_CHILDREN,DecisionTree,Overfitted,Test,0.3880597014925373,0.5,0.5710014947683109
insurance,HAS_CHILDREN,RandomForest,Underfitted,Train,0.5420560747663551,0.5,0.5710014947683109
insurance,HAS_CHILDREN,RandomForest,Underfitted,Test,0.5708955223880597,0.5,0.5710014947683109
insurance,HAS_CHILDREN,RandomForest,Optimal,Train,0.6383177570093458,0.5,0.5710014947683109
insurance,HAS_CHILDREN,RandomForest,Optimal,Test,0.5671641791044776,0.5,0.5710014947683109
insurance,HAS_CHILDREN,RandomForest,Overfitted,Train,0.6831775700934579,0.5,0.5710014947683109
insurance,HAS_CHILDREN,RandomForest,Overfitted,Test,0.5111940298507462,0.5,0.5710014947683109
insurance,HAS_CHILDREN,NeuralNetwork,Underfitted,Train,0.569158878504673,0.5,0.5710014947683109
insurance,HAS_CHILDREN,NeuralNetwork,Underfitted,Test,0.5522388059701493,0.5,0.5710014947683109
insurance,HAS_CHILDREN,NeuralNetwork,Optimal,Train,0.5588785046728972,0.5,0.5710014947683109
insurance,HAS_CHILDREN,NeuralNetwork,Optimal,Test,0.503731343283582,0.5,0.5710014947683109
insurance,HAS_CHILDREN,NeuralNetwork,Overfitted,Train,0.5532710280373832,0.5,0.5710014947683109
insurance,HAS_CHILDREN,NeuralNetwork,Overfitted,Test,0.5149253731343284,0.5,0.5710014947683109
