Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline
personality,Social_Events_Category,XGBoost,Optimal,Train,0.5085,0.3333333333333333,0.4846
personality,Social_Events_Category,XGBoost,Optimal,Test,0.511,0.3333333333333333,0.4846
personality,Social_Events_Category,XGBoost,Overfitted,Train,0.5015,0.3333333333333333,0.4846
personality,Social_Events_Category,XGBoost,Overfitted,Test,0.502,0.3333333333333333,0.4846
personality,Social_Events_Category,DecisionTree,Underfitted,Train,0.48575,0.3333333333333333,0.4846
personality,Social_Events_Category,DecisionTree,Underfitted,Test,0.48,0.3333333333333333,0.4846
personality,Social_Events_Category,DecisionTree,Optimal,Train,0.47475,0.3333333333333333,0.4846
personality,Social_Events_Category,DecisionTree,Optimal,Test,0.454,0.3333333333333333,0.4846
personality,Social_Events_Category,DecisionTree,Overfitted,Train,0.48525,0.3333333333333333,0.4846
personality,Social_Events_Category,DecisionTree,Overfitted,Test,0.481,0.3333333333333333,0.4846
personality,Social_Events_Category,RandomForest,Underfitted,Train,0.48725,0.3333333333333333,0.4846
personality,Social_Events_Category,RandomForest,Underfitted,Test,0.478,0.3333333333333333,0.4846
personality,Social_Events_Category,RandomForest,Optimal,Train,0.49875,0.3333333333333333,0.4846
personality,Social_Events_Category,RandomForest,Optimal,Test,0.472,0.3333333333333333,0.4846
personality,Social_Events_Category,RandomForest,Overfitted,Train,0.52625,0.3333333333333333,0.4846
personality,Social_Events_Category,RandomForest,Overfitted,Test,0.479,0.3333333333333333,0.4846
personality,Social_Events_Category,NeuralNetwork,Underfitted,Train,0.5055,0.3333333333333333,0.4846
personality,Social_Events_Category,NeuralNetwork,Underfitted,Test,0.507,0.3333333333333333,0.4846
personality,Social_Events_Category,NeuralNetwork,Optimal,Train,0.49425,0.3333333333333333,0.4846
personality,Social_Events_Category,NeuralNetwork,Optimal,Test,0.495,0.3333333333333333,0.4846
personality,Social_Events_Category,NeuralNetwork,Overfitted,Train,0.48625,0.3333333333333333,0.4846
personality,Social_Events_Category,NeuralNetwork,Overfitted,Test,0.492,0.3333333333333333,0.4846
