Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline,Successful_Attack,Improvement_Over_Baseline
insurance,REGION,DecisionTree,Underfitted,Train,0.2401869158878504,0.25,0.2720478325859491,False,0.8828848721372086
insurance,REGION,DecisionTree,Underfitted,Test,0.2537313432835821,0.25,0.2720478325859491,False,0.9326718058061344
insurance,REGION,DecisionTree,Optimal,Train,0.2411214953271028,0.25,0.2720478325859491,False,0.8863202218342408
insurance,REGION,DecisionTree,Optimal,Test,0.25,0.25,0.2720478325859491,False,0.9189560439560441
insurance,REGION,DecisionTree,Overfitted,Train,0.2364485981308411,0.25,0.2720478325859491,False,0.8691434733490809
insurance,REGION,DecisionTree,Overfitted,Test,0.2649253731343283,0.25,0.2720478325859491,False,0.9738190913564048
insurance,REGION,RandomForest,Underfitted,Train,0.2878504672897196,0.25,0.2720478325859491,True,1.0580877066858376
insurance,REGION,RandomForest,Underfitted,Test,0.2649253731343283,0.25,0.2720478325859491,False,0.9738190913564048
insurance,REGION,RandomForest,Optimal,Train,0.3345794392523364,0.25,0.2720478325859491,True,1.2298551915374347
insurance,REGION,RandomForest,Optimal,Test,0.2052238805970149,0.25,0.2720478325859491,False,0.7543669017549616
insurance,REGION,RandomForest,Overfitted,Train,0.4271028037383177,0.25,0.2720478325859491,True,1.5699548115435968
insurance,REGION,RandomForest,Overfitted,Test,0.2388059701492537,0.25,0.2720478325859491,False,0.8778087584057734
insurance,REGION,NeuralNetwork,Underfitted,Train,0.2728971962616822,0.25,0.2720478325859491,True,1.0031221115333264
insurance,REGION,NeuralNetwork,Underfitted,Test,0.208955223880597,0.25,0.2720478325859491,False,0.7680826636050518
insurance,REGION,NeuralNetwork,Optimal,Train,0.2831775700934579,0.25,0.2720478325859491,True,1.040910958200678
insurance,REGION,NeuralNetwork,Optimal,Test,0.1902985074626865,0.25,0.2720478325859491,False,0.6995038543546006
insurance,REGION,NeuralNetwork,Overfitted,Train,0.2934579439252336,0.25,0.2720478325859491,True,1.0786998048680294
insurance,REGION,NeuralNetwork,Overfitted,Test,0.2350746268656716,0.25,0.2720478325859491,False,0.8640929965556832
insurance,BMI_CATEGORY,XGBoost,Underfitted,Train,0.2869158878504673,0.25,0.5351270553064275,False,0.5361640474077168
insurance,BMI_CATEGORY,XGBoost,Underfitted,Test,0.2723880597014925,0.25,0.5351270553064275,False,0.5090156758108897
insurance,BMI_CATEGORY,XGBoost,Optimal,Train,0.214018691588785,0.25,0.5351270553064275,False,0.39993995718686365
insurance,BMI_CATEGORY,XGBoost,Optimal,Test,0.1902985074626865,0.25,0.5351270553064275,False,0.35561369131993653
insurance,BMI_CATEGORY,XGBoost,Overfitted,Train,0.3495327102803738,0.25,0.5351270553064275,False,0.6531770479820393
insurance,BMI_CATEGORY,XGBoost,Overfitted,Test,0.3097014925373134,0.25,0.5351270553064275,False,0.5787438505795046
insurance,BMI_CATEGORY,DecisionTree,Underfitted,Train,0.2869158878504673,0.25,0.5351270553064275,False,0.5361640474077168
